Year,China,Germany,India,Japan,United Kingdom,United States
1991,383373318083.624,1868945197407.19,270105341879.226,3584420077100.84,1142797178130.51,6158129000000.0
1992,426915712715.856,2131571696931.75,288208430383.964,3908809463463.86,1179659529659.53,6520327000000.0
1993,444731282435.515,2071323790370.28,279296022987.919,4454143876947.21,1061388722255.55,6858559000000.0
1994,564324670008.238,2205074123177.05,327275583539.559,4998797547740.97,1140489745944.29,7287236000000.0
1995,734547898224.101,2585792275146.72,360281952716.797,5545563663889.7,1346422597443.59,7639749000000.0
1996,863746717507.397,2497244606186.64,392897054348.071,4923391533851.63,1421514820592.82,8073122000000.0
1997,961603952954.233,2211989623279.95,415867753863.874,4492448605638.94,1559569417157.83,8577554457000.0
1998,1029043097558.91,2238990774702.68,421351477504.743,4098362709531.24,1653391851606.49,9062818202000.0
1999,1093997267277.1,2194945278872.59,458820417337.807,4635982224063.88,1685762821549.91,9631174489000.0
2000,1211346869600.41,1947981991011.77,468394937262.37,4968359075956.59,1662127402027.54,10250947997000.0
2001,1339395718862.89,1945790973803.15,485441014538.638,4374711694090.87,1643908161796.46,10581929774000.0
2002,1470550015077.93,2078484517474.51,514937948870.08,4182846045873.61,1784076738609.11,10929112955000.0
2003,1660287965663.89,2501640388482.35,607699285433.872,4519561645253.53,2057093877551.02,11456442041000.0
2004,1955347004965.69,2814353869359.08,709148514804.659,4893116005656.56,2421814353716.59,12217193198000.0
2005,2285965892364.2,2846864211175.1,820381595512.902,4831467035389.8,2544829090909.09,13039199193000.0
2006,2752131773358.92,2994703642023.53,940259888792.141,4601663122649.92,2717059797608.1,13815586948000.0
2007,3550342737009.53,3425578382921.58,1216735441524.86,4579750920354.81,3106182472989.2,14474226905000.0
2008,4594307032667.98,3745264093617.19,1198895582137.51,5106679115127.3,2938882352941.18,14769857911000.0
2009,5101703073088.97,3411261212652.34,1341886602798.69,5289493117993.89,2425798410967.44,14478064934000.0
2010,6087163874510.73,3399667820000.01,1675615335600.56,5759071769013.11,2491110093454.18,15048964444000.0
2011,7551500124197.17,3749314991050.59,1823049927771.46,6233147172341.35,2674891473843.81,15599728123000.0
2012,8532229986993.65,3527143188785.16,1827637859135.7,6272362996105.03,2719158341005.79,16253972230000.0
2013,9570406235659.64,3733804649549.03,1856722121394.53,5212328181166.18,2803291406029.93,16843190993000.0
2014,10475682920597.7,3889093051023.52,2039127446298.55,4896994405353.29,3087165602962.86,17550680174000.0
2015,11061553079871.5,3357585719351.56,2103587813812.75,4444930651964.18,2956573778737.76,18206020741000.0
2016,11233276536744.7,3469853463945.53,2294797980509.01,5003677627544.24,2722851958486.23,18695110842000.0
2017,12310409370894.2,3690849152517.65,2651472946374.91,4930837369151.42,2699016715111.39,19479620056000.0
2018,13894817549380.3,3977289455388.23,2702929718960.46,5037835383110.97,2900791442554.06,20527156026000.0
2019,14279937500608.0,3888326788627.44,2831552222519.99,5123318151510.62,2878673912414.44,21372572437000.0
2020,14687673892882.0,3846413928653.71,2667687951796.56,5040107754084.11,2756900214107.32,20893743833000.0
